INDEX	GRID	WORLD
0	0.000000,0.000000	1.000000,1.000000
398465	420.000000,1114.000000	421.000000,1115.000000
396327	434.000000,1108.000000	435.000000,1109.000000
397049	448.000000,1110.000000	449.000000,1111.000000
397056	462.000000,1110.000000	463.000000,1111.000000
396348	476.000000,1108.000000	477.000000,1109.000000
396355	490.000000,1108.000000	491.000000,1109.000000
395647	504.000000,1106.000000	505.000000,1107.000000
397084	518.000000,1110.000000	519.000000,1111.000000
394945	530.000000,1104.000000	531.000000,1105.000000
394952	544.000000,1104.000000	545.000000,1105.000000
394244	558.000000,1102.000000	559.000000,1103.000000
389238	556.000000,1088.000000	557.000000,1089.000000
386384	568.000000,1080.000000	569.000000,1081.000000
382814	578.000000,1070.000000	579.000000,1071.000000
380676	592.000000,1064.000000	593.000000,1065.000000
375672	594.000000,1050.000000	595.000000,1051.000000
373534	608.000000,1044.000000	609.000000,1045.000000
369249	618.000000,1032.000000	619.000000,1033.000000
366395	630.000000,1024.000000	631.000000,1025.000000
363541	642.000000,1016.000000	643.000000,1017.000000
358533	636.000000,1002.000000	637.000000,1003.000000
353525	630.000000,988.000000	631.000000,989.000000
348518	626.000000,974.000000	627.000000,975.000000
343513	626.000000,960.000000	627.000000,961.000000
342077	614.000000,956.000000	615.000000,957.000000
339925	600.000000,950.000000	601.000000,951.000000
338488	586.000000,946.000000	587.000000,947.000000
339911	572.000000,950.000000	573.000000,951.000000
343481	562.000000,960.000000	563.000000,961.000000
348487	564.000000,974.000000	565.000000,975.000000
353489	558.000000,988.000000	559.000000,989.000000
363487	534.000000,1016.000000	535.000000,1017.000000
